word,f_ev,f_mv,s_prop
bergpas,19,8,0
bergplaats,25,2,0
bergschoen,0,5,0
bergtop,41,21,0
bergwand,7,3,0
bergweide,0,1,0
bericht,2610,753,0
berijder,10,3,1
berin,5,2,0
berm,30,1,0
bermuda,4,2,1
beroemdheid,186,169,0
beroep,1107,30,0
beroepsbezigheid,0,1,0
beroepsgeheim,37,2,0
beroepsmisdadiger,2,2,1
beroerling,2,1,0
beroerte,288,11,1
beroving,134,44,0
beschaafd,0,1,0
beschadiging,33,15,0
beschaving,489,52,0
beschermeling,28,3,0
beschermengel,99,12,0
beschermer,137,46,1
beschermgeest,7,1,0
beschermgod,0,1,0
beschermheer,32,5,0
beschermster,2,1,1
beschieting,14,6,0
beschikking,181,1,0
beschildering,0,2,0
beschouwing,34,3,0
beschrijving,307,29,0
beschuit,11,5,0
beschuldiger,1,1,1
beschuldiging,233,317,0
beslaglegging,7,3,0
beslissing,1850,520,0
beslissingswedstrijd,6,1,0
beslommering,0,14,0
besluit,1092,74,0
besmetting,136,12,0
besnijdenis,51,5,0
besogne,0,4,1
besparing,7,15,0
bespieder,3,2,1
bespieding,0,1,0
bespiegeling,5,1,0
bespreking,242,45,0
bestand,305,269,0
bestanddeel,22,11,0
besteding,8,1,0
bestek,88,1,0
bestelauto,29,3,1
bestelbon,3,2,0
bestelformulier,1,3,0
besteller,1,1,1
bestelling,403,88,0
bestelwagen,131,8,1
bestemming,536,17,0
bestialiteit,7,2,0
bestorming,22,1,0
bestraffing,11,4,0
bestraling,18,3,0
bestrijder,3,3,1
bestrijdingsmiddel,2,3,0
besturing,96,1,0
besturingssysteem,33,1,0
bestuur,499,173,0
bestuurder,269,63,1
bestuursfunctie,1,1,1
bestuurslid,18,16,0
bestuurszaak,0,4,0
beta,16,16,1
betaalautomaat,1,1,0
betaaldag,47,1,0
betaalkaart,9,2,0
betaalmiddel,14,4,0
betaalpas,1,3,0
betaler,2,4,1
betaling,283,104,0
betalingstermijn,4,1,0
betasting,0,1,0
bete,0,44,0
betekenis,671,23,0
betoger,0,24,1
betoging,22,6,0
betonblok,0,3,0
betonmolen,7,1,1
betovergrootvader,22,1,1
betovering,218,23,0
betrekking,129,55,0
betweter,52,6,1
beugel,149,43,1
beuk,83,15,0
beuker,4,3,1
beul,173,25,0
beunhaas,3,1,0
beurs,620,38,0
beursbericht,0,4,0
beursnotering,2,6,0
beursstudent,3,2,0
beurt,1831,51,0
beuzelarij,1,1,0
beuzelpraatje,0,2,1
bevalling,208,17,0
beveiliging,1403,9,0
beveiligingsmaatregel,2,5,0
beveiligingssysteem,70,14,0
bevel,2842,863,0
bevelhebber,157,20,1
bevelschrift,139,14,0
bever,85,48,1
bevestiging,278,6,0
bevinding,5,81,0
beving,62,34,0
bevlieging,55,5,0
bevoegdheid,184,46,0
bevolking,446,5,0
bevolkingsaantal,3,1,0
bevolkingsgroep,2,4,0
bevolkingsregister,4,2,1
bevoorrading,62,2,0
bevoorradingsschip,12,2,0
bevorderaar,0,1,1
bevordering,25,3,0
bevriezing,23,1,0
bevrijder,18,14,1
bevrijdingsfront,7,1,0
bevrijdingsoorlog,1,1,0
bewaakster,15,1,1
bewaarder,58,53,1
bewaker,882,996,1
bewakingssysteem,13,3,0
bewakingstroep,0,1,0
beweegreden,8,13,0
beweger,0,1,1
